,"SARIMAX(4,1,2)(0,0,0,48) Predictions",VAR(55),AR(55),Test_Sample
2018-03-29 02:30:00,248.97006753524698,207.31548030659275,207.03653296798217,0.0
2018-03-29 03:00:00,239.87550975889883,207.3154805031451,207.0365329629442,0.0
2018-03-29 03:30:00,239.87550975889883,207.31548065399852,207.03653295806532,0.0
2018-03-29 04:00:00,236.84400977398428,207.3154807703049,207.0365329534289,0.0
2018-03-29 04:30:00,227.74945199763613,207.31548083648556,207.03653294911388,0.0
2018-03-29 05:00:00,218.65489422128798,207.31548086512714,207.0365329451936,0.0
2018-03-29 05:30:00,212.59186534065657,207.3154808421787,207.03653294173446,0.0
2018-03-29 06:00:00,206.52883646002522,207.31548078173364,207.0365329387948,0.0
2018-03-29 06:30:00,245.93853863953024,207.31548067128747,207.03653293642392,19.0
2018-03-29 07:00:00,282.31676974492285,207.3154805264074,207.03653293466132,97.0
2018-03-29 07:30:00,324.7580008201446,207.3154803360511,207.036532933536,144.0
2018-03-29 08:00:00,364.16773191045183,207.3154801171241,207.03653293306587,149.0
2018-03-29 08:30:00,400.54593410504225,207.31547985986384,207.03653293325766,240.0
2018-03-29 09:00:00,439.9556362845473,207.31547958228725,207.0365329341067,497.0
2018-03-29 09:30:00,464.2078096286771,207.31547927564372,207.03653293559708,624.0
2018-03-29 10:00:00,491.4914540469194,207.31547895875855,207.0365329377019,709.0
2018-03-29 10:30:00,506.64904070389895,207.31547862355836,207.03653294038384,782.0
2018-03-29 11:00:00,524.8381562565952,207.31547828931764,207.03653294359572,841.0
2018-03-29 11:30:00,533.9326851221412,207.31547794826295,207.0365329472813,883.0
2018-03-29 12:00:00,543.0272718092915,207.31547761972766,207.0365329513765,907.0
2018-03-29 12:30:00,543.0272718092915,207.3154772958425,207.03653295581023,916.0
2018-03-29 13:00:00,543.0272718092915,207.3154769956065,207.03653296050575,836.0
2018-03-29 13:30:00,539.9957429135748,207.31547671066863,207.03653296538204,710.0
2018-03-29 14:00:00,533.9326851221412,207.3154764593215,207.03653297035513,649.0
2018-03-29 14:30:00,521.8066273608785,207.31547623238131,207.03653297533955,647.0
2018-03-29 15:00:00,509.6805695996157,207.31547604711147,207.0365329802498,635.0
2018-03-29 15:30:00,497.554511838353,207.3154758932049,207.03653298500186,514.0
2018-03-29 16:00:00,485.4283962554859,207.315475786641,207.0365329895146,361.0
2018-03-29 16:30:00,470.27080959850633,207.31547571577755,207.03653299371112,390.0
2018-03-29 17:00:00,452.0817518674144,207.3154756951438,207.03653299752014,309.0
2018-03-29 17:30:00,452.0817518674144,207.31547571164214,207.03653300087717,201.0
2018-03-29 18:00:00,391.4514052394963,207.31547577828243,207.03653300372557,102.0
2018-03-29 18:30:00,370.23076079108324,207.31547588049474,207.03653300601755,24.0
2018-03-29 19:00:00,345.9786163577555,207.31547602980274,207.03653300771498,0.0
2018-03-29 19:30:00,330.821029700776,207.31547621024765,207.03653300878997,0.0
2018-03-29 20:00:00,315.66344304379646,207.31547643200022,207.03653300922542,0.0
2018-03-29 20:30:00,300.50585638681696,207.31547667789252,207.0365330090152,0.0
2018-03-29 21:00:00,285.34826972983745,207.3154769569653,207.03653300816416,0.0
2018-03-29 21:30:00,270.1906830728579,207.3154772511043,207.0365330066883,0.0
2018-03-29 22:00:00,258.06462531159514,207.31547756851833,207.0365330046142,0.0
2018-03-29 22:30:00,242.90703865461563,207.31547789047485,207.0365330019786,0.0
2018-03-29 23:00:00,227.74945199763613,207.31547822470296,207.03653299882794,0.0
2018-03-29 23:30:00,212.59186534065657,207.31547855222215,207.03653299521724,0.0
2018-03-30 00:00:00,197.43427868367706,207.31547888066436,207.03653299120938,0.0
2018-03-30 00:30:00,185.3081920116121,207.3154791911876,207.0365329868739,0.0
2018-03-30 01:00:00,173.18213425034935,207.31547949171286,207.03653298228582,0.0
2018-03-30 01:30:00,161.0560764890866,207.31547976391622,207.0365329775243,0.0
2018-03-30 02:00:00,151.96151871273844,207.31548001637088,207.03653297267135,0.0
2018-03-30 02:30:00,142.86696093639029,207.31548023161324,207.0365329678104,0.0
2018-03-30 03:00:00,133.77240316004213,207.3154804191858,207.03653296302474,0.0
2018-03-30 03:30:00,124.67785983909509,207.31548056277043,207.0365329583963,0.0
2018-03-30 04:00:00,115.58330206274694,207.3154806731267,207.03653295400412,0.0
2018-03-30 04:30:00,109.52027318211556,207.3154807352882,207.036532949923,0.0
2018-03-30 05:00:00,103.45722984608308,207.31548076139518,207.03653294622222,0.0
2018-03-30 05:30:00,112.55178762243123,207.31548073794988,207.0365329429645,0.0
2018-03-30 06:00:00,118.61481650306261,207.3154806785386,207.03653294020475,0.0
2018-03-30 06:30:00,158.02454759336985,207.3154805711481,207.03653293798928,24.0
2018-03-30 07:00:00,194.40274978796026,207.31548043077854,207.03653293635492,106.0
2018-03-30 07:30:00,233.81248087826748,207.31548024681888,207.0365329353285,212.0
2018-03-30 08:00:00,273.2222119685747,207.31548003555184,207.03653293492633,326.0
2018-03-30 08:30:00,306.5688852674483,207.31547978759102,207.03653293515404,438.0
2018-03-30 09:00:00,339.9155874771242,207.31547952028234,207.0365329360064,544.0
2018-03-30 09:30:00,370.23076079108324,207.31547922520625,207.03653293746757,643.0
2018-03-30 10:00:00,397.5144052093255,207.3154789204799,207.03653293951118,729.0
2018-03-30 10:30:00,421.7665785534553,207.31547859832858,207.03653294210096,803.0
2018-03-30 11:00:00,446.0186940759808,207.3154782772941,207.03653294519142,862.0
2018-03-30 11:30:00,464.2078096286771,207.3154779498837,207.03653294872854,904.0
2018-03-30 12:00:00,485.4283962554859,207.31547763469015,207.03653295265073,930.0
